"SampleID","Celltype","AnnotationScore"
"227J1_A12","alpha",1
"227J1_A3","beta",1
"227J1_A4","beta",1.1
"227J1_A5","ductal",1
"227J1_B10","beta",1
"227J1_B12","beta",1
"227J1_B3","alpha",1.1
"227J1_B5","alpha",1.1
"227J1_B7","alpha",1
"227J1_C1","alpha",1
"227J1_C2","gamma",1
"227J1_C3","beta",1
"227J1_C5","alpha",1.1
"227J1_C6","beta",1.1
"227J1_D11","delta",1
"227J1_D2","alpha",1
"227J1_D6","alpha",1
"227J1_D9","alpha",1
"227J4_A12","delta",1
"227J4_A3","alpha",1
"227J4_A4","beta",1.1
"227J4_A7","ductal",1
"227J4_B10","alpha",1
"227J4_B12","immune",1
"227J4_B6","beta",0.910393428
"227J4_B9","beta",1
"227J4_C1","beta",1.1
"227J4_C12","alpha",1
"227J4_C4","delta",0.939724483
"227J4_D10","beta",1.1
"227J4_D3","unclassified",1.1
"227J4_D4","delta",1.1
"227J4_D6","endothelial",1
"227J4_D7","alpha",1
"2308J3_A1","gamma",1
"2308J3_A10","beta",1
"2308J3_A11","alpha",1
"2308J3_A12","alpha",1
"2308J3_A2","alpha",1
"2308J3_A3","alpha",1
"2308J3_A4","beta",1
"2308J3_A5","immune",1
"2308J3_A6","alpha",1
"2308J3_A7","beta",1.1
"2308J3_A8","endothelial",1
"2308J3_A9","unclassified",1.1
"2308J3_B1","alpha",1
"2308J3_B10","beta",1.1
"2308J3_B11","alpha",1
"2308J3_B12","alpha",1
"2308J3_B2","delta",1
"2308J3_B3","delta",1.1
"2308J3_B4","delta",1.1
"2308J3_B5","delta",1
"2308J3_B6","alpha",1
"2308J3_B7","alpha",1
"2308J3_B8","alpha",1
"2308J3_B9","beta",1.1
"2308J3_C1","alpha",1
"2308J3_C10","alpha",1
"2308J3_C11","alpha",1.1
"2308J3_C12","delta",1
"2308J3_C3","alpha",1
"2308J3_C4","beta",1.1
"2308J3_C6","unclassified",1.1
"2308J3_C7","acinar",1
"2308J3_C8","alpha",1
"2308J3_C9","alpha",1
"2308J3_D1","immune",1
"2308J3_D10","alpha",1
"2308J3_D11","alpha",1.1
"2308J3_D12","alpha",1
"2308J3_D2","alpha",1.1
"2308J3_D3","beta",0.8
"2308J3_D4","beta",1.1
"2308J3_D5","beta",1.1
"2308J3_D6","alpha",1
"2308J3_D7","alpha",1
"2308J3_D8","alpha",1
"2308J3_D9","delta",0.892045601
"2308J4_A1","alpha",1
"2308J4_A10","beta",1
"2308J4_A11","alpha",1
"2308J4_A12","alpha",1.1
"2308J4_A2","alpha",1
"2308J4_A3","alpha",1.1
"2308J4_A4","alpha",1
"2308J4_A5","unclassified",1.1
"2308J4_A6","alpha",1
"2308J4_A7","unclassified",1.1
"2308J4_A8","activated-stellate",1
"2308J4_A9","beta",1.1
"2308J4_B1","beta",1
"2308J4_B10","alpha",1
"2308J4_B11","alpha",1
"2308J4_B12","unclassified",1.1
"2308J4_B2","alpha",1
"2308J4_B3","alpha",1
"2308J4_B4","beta",1
"2308J4_B5","beta",1
"2308J4_B6","immune",1
"2308J4_B7","alpha",1
"2308J4_B8","alpha",1
"2308J4_B9","delta",0.806506594
"2308J4_C1","unclassified",1.1
"2308J4_C10","alpha",1
"2308J4_C11","alpha",1
"2308J4_C12","delta",1
"2308J4_C2","unclassified",1.1
"2308J4_C3","beta",1
"2308J4_C4","beta",1
"2308J4_C5","alpha",1
"2308J4_C6","alpha",1
"2308J4_C7","alpha",1
"2308J4_C8","alpha",1
"2308J4_C9","alpha",1
"2308J4_D1","beta",0.985067344
"2308J4_D10","alpha",1
"2308J4_D11","alpha",1
"2308J4_D3","alpha",1
"2308J4_D4","alpha",1
"2308J4_D5","alpha",1
"2308J4_D6","beta",1
"2308J4_D7","alpha",1
"2308J4_D8","alpha",1
"2308J4_D9","beta",1
