Variables,1C10,2C10,4C10,6C10,7C10,10C10,13C10,18C10,19C10,22C10,25C10,26C10,27C10,28C10,29C10,30C10,31C10,32C10,33C10,34C10,35C10,38C10,39C10,40C10,41C10,42C10,43C10,44C10,45C10,46C10,47C10,2SVEC,5SVEC,7SVEC,9SVEC,10SVEC,13SVEC,14SVEC,15SVEC,17SVEC,18SVEC,19SVEC,20SVEC,21SVEC,22SVEC,23SVEC,25SVEC,26SVEC,27SVEC,28SVEC,29SVEC,30SVEC,31SVEC,32SVEC,33SVEC,34SVEC,35SVEC,36SVEC,37SVEC,38SVEC,39SVEC,40SVEC,41SVEC,42SVEC,43SVEC,44SVEC,45SVEC,46SVEC,47SVEC,48SVEC
no_feature,214758,290826,44432,36653,34225,7017,307857,120900,100031,52110,185418,126309,108634,192181,74693,205619,318481,111253,86656,96346,50833,158316,102207,117018,142389,123999,275306,199308,81569,161349,165743,10461,44182,25360,380,13017,77788,14661,23908,52190,26183,109899,416,33580,15951,11735,87325,30829,17006,17194,30060,40218,19318,8841,40313,34292,22382,92640,62541,16652,16841,42287,50894,40586,45225,10154,24713,14506,11049,8633
ambiguous,239972,332011,36748,34982,29515,5050,295250,125414,111810,55078,188272,130293,106385,172936,80453,235931,328292,109183,81144,100522,55475,172106,91284,114913,129638,153273,260966,155024,70480,187306,179455,14657,71458,31910,475,22785,136820,23600,28226,81920,38254,230979,732,52783,20965,15625,160184,39948,18499,21881,50265,75166,26178,11176,55760,75665,34000,139137,98334,31093,29262,70463,86630,70874,71977,13667,39018,24753,19092,5144
too_low_aQual,33312,47098,8119,5501,5186,1109,50966,15376,18660,7514,33470,12932,13049,26143,9620,24137,48856,11913,10273,13391,6293,24002,18508,15685,21221,16346,36986,30298,11003,23876,18832,2000,13918,5393,71,2876,16470,3417,4642,12015,4922,32547,35,8990,3811,2425,18904,8406,3547,4610,7594,8885,4621,1235,8796,9991,7178,25647,15266,3742,4230,11590,9668,8734,8946,1683,4732,3683,2597,468
not_aligned,1159247,2082056,350895,407360,203965,62900,1749133,1439572,1186813,512537,1329960,828723,746298,1028827,658584,1373296,1679312,489780,557090,578994,298709,1260542,849888,930983,885309,889384,1105757,934146,436192,673503,713797,130840,508964,156453,7933,156277,1035173,459294,308806,701436,617248,1420733,55655,393191,170170,101447,747991,355170,805697,490626,536974,608113,159758,366363,542223,471545,119061,378930,380073,146982,219356,712931,1329058,861494,403744,475279,235677,246360,53038,98075
mapped,3505074,5028260,557694,546460,459165,83188,4728593,1928064,1752406,867479,2852563,1835344,1630690,2860576,1287250,3147575,5124498,1613575,1229476,1448814,880127,2405478,1448761,1767610,2007318,2149154,4173140,2402335,1053541,2762241,2587089,179659,1068430,473124,5122,313236,1596561,266848,396766,1066994,514582,2831907,6591,656486,271413,227943,2103453,552427,200062,303680,694601,934592,373226,130944,790581,891961,520453,1894402,1319230,287574,343655,797126,1103327,945241,950284,166762,485763,345421,209784,77076
total reads,5152363,7780251,997888,1030956,732056,159264,7131799,3629326,3169720,1494718,4589683,2933601,2605056,4280663,2110600,4986558,7499439,2335704,1964639,2238067,1291437,4020444,2510648,2946209,3185875,3332156,5852155,3721111,1652785,3808275,3664916,337617,1706952,692240,13981,508191,2862812,767820,762348,1914555,1201189,4626065,63429,1145030,482310,359175,3117857,986780,1044811,837991,1319494,1666974,583101,518559,1437673,1483454,703074,2530756,1875444,486043,613344,1634397,2579577,1926929,1480176,667545,789903,634723,295560,189396
percent aligned,76.8541347,72.6338649,64.02261576,59.95357707,71.42964473,59.80949869,74.75953823,59.91134442,61.96910137,65.20741705,70.29359108,71.30983389,70.85102969,75.3549859,68.34056666,71.97600028,76.95603631,78.5206944,71.12125943,73.53140009,76.38274263,68.04969799,65.41147943,67.86826732,71.54533684,72.81849949,80.47312486,74.08182664,72.94294176,81.68779828,80.00966461,60.65364007,69.36750418,76.6199584,42.75087619,68.6824442,63.26538383,39.73704775,58.88386931,62.73541371,48.20382138,68.58496368,12.20104369,64.87594212,63.92755697,71.08039257,75.40313748,63.15531324,22.54637442,40.90199059,58.72902795,62.98694521,71.80951499,29.11163436,61.67285607,67.53953948,82.04470653,84.0135912,78.92024502,68.989575,63.54639485,55.67043992,48.10288664,54.83860589,72.11885614,28.54983559,69.56474403,60.60596512,81.17641088,47.96986209
percent mapped,68.02847548,64.6285062,55.88743426,53.0051719,62.72266056,52.23277075,66.30294825,53.12457465,55.28582966,58.03629849,62.15163444,62.5628366,62.59711883,66.82553614,60.98976594,63.12119502,68.33175121,69.08302593,62.58025011,64.73505932,68.1509822,59.83115298,57.70466429,59.9960831,63.00680347,64.49740048,71.3094578,64.55961674,63.7433786,72.53260334,70.59067657,53.21384883,62.59285557,68.34681613,36.6354338,61.63745521,55.76897819,34.7539788,52.04526017,55.73065281,42.83938664,61.21632532,10.39114601,57.33351965,56.2735585,63.46293589,67.46470412,55.98279252,19.14815215,36.23905269,52.64146711,56.06518158,64.00709311,25.25151429,54.99032116,60.12731099,74.02535153,74.85518161,70.34227628,59.16637005,56.02973209,48.77187122,42.77162496,49.05427237,64.2007437,24.98138702,61.49653818,54.42074732,70.97848153,40.69568523
align fail rate,23.1458653,27.3661351,35.97738424,40.04642293,28.57035527,40.19050131,25.24046177,40.08865558,38.03089863,34.79258295,29.70640892,28.69016611,29.14897031,24.6450141,31.65943334,28.02399972,23.04396369,21.4793056,28.87874057,26.46859991,23.61725737,31.95030201,34.58852057,32.13173268,28.45466316,27.18150051,19.52687514,25.91817336,27.05705824,18.31220172,19.99033539,39.34635993,30.63249582,23.3800416,57.24912381,31.3175558,36.73461617,60.26295225,41.11613069,37.26458629,51.79617862,31.41503632,87.79895631,35.12405788,36.07244303,28.91960743,24.59686252,36.84468676,77.45362558,59.09800941,41.27097205,37.01305479,28.19048501,70.88836564,38.32714393,32.46046052,17.95529347,15.9864088,21.07975498,31.010425,36.45360515,44.32956008,51.89711336,45.16139411,27.88114386,71.45016441,30.43525597,39.39403488,18.82358912,52.03013791
map fail rate,11.48364919,11.02152379,12.7067309,11.58964237,12.18959467,12.66810141,11.31172046,11.32802116,10.78484529,10.99739706,11.58278659,12.2661866,11.64966958,11.31902509,10.75613077,12.3024414,11.20676884,12.01933903,12.00908053,11.96269996,10.77698987,12.07726891,11.78205294,11.59921202,11.93443731,11.42717726,11.387239,12.85363811,12.6119991,11.20754278,11.77231287,12.26602597,9.766314492,10.79763346,14.3048352,10.25733588,11.84914274,12.54010862,11.61372243,11.16556102,11.12865036,10.74381025,14.83395788,11.6259159,11.97292502,10.71667783,10.52798812,11.35695535,15.07214508,11.40027133,10.36550587,10.98920356,10.86544294,13.25971609,10.83545554,10.97465062,9.774372221,10.90110475,10.86916131,14.23868018,11.82862186,12.39179844,11.08303898,10.54792226,10.97925406,12.49901618,11.59812482,10.20562545,12.56267584,15.16405622
genes covered,8042,7123,4959,4176,4715,2921,6642,4378,5998,3978,6177,4899,5094,4622,4674,5376,6212,3952,4371,5067,3868,6153,5849,5769,4835,5881,6025,6265,4314,5773,5086,2309,6322,3696,395,5102,5626,1956,2943,3798,3812,6243,479,3875,2768,2907,4151,2382,1715,2243,2447,5151,3031,1526,3042,4186,3925,5914,4131,2577,4169,3875,4600,5271,4239,1088,3188,3499,3159,1061
Proteomics Name Conversion,05J_C10_D1,05J_C10_D3,05J_C10_D7,05J_C10_D11,05J_C10_D2,05J_C10_D8,05J_C10_C1,05J_C10_C11,05J_C10_C2,05J_C10_C8,05J_C10_B1,05J_C10_B3,05J_C10_B5,05J_C10_B7,05J_C10_B9,05J_C10_B11,05J_C10_B2,05J_C10_B4,05J_C10_B6,05J_C10_B8,05J_C10_B10,05J_C10_A3,05J_C10_A5,05J_C10_A7,05J_C10_A9,05J_C10_A11,05J_C10_A2,05J_C10_A4,05J_C10_A6,05J_C10_A8,05J_C10_A10,07J_SVEC_D3,07J_SVEC_D9,07J_SVEC_D2,07J_SVEC_D6,07J_SVEC_D8,07J_SVEC_C1,07J_SVEC_C3,07J_SVEC_C5,07J_SVEC_C9,07J_SVEC_C11,07J_SVEC_C2,07J_SVEC_C4,07J_SVEC_C6,07J_SVEC_C8,07J_SVEC_C10,07J_SVEC_B1,07J_SVEC_B3,07J_SVEC_B5,07J_SVEC_B7,07J_SVEC_B9,07J_SVEC_B11,07J_SVEC_B2,07J_SVEC_B4,07J_SVEC_B6,07J_SVEC_B8,07J_SVEC_B10,07J_SVEC_B12,07J_SVEC_A1,07J_SVEC_A3,07J_SVEC_A5,07J_SVEC_A7,07J_SVEC_A9,07J_SVEC_A11,07J_SVEC_A2,07J_SVEC_A4,07J_SVEC_A6,07J_SVEC_A8,07J_SVEC_A10,07J_SVEC_A12
