UNIPROT	Gene
E2JF22	Piezo1
E9Q555	Rnf213
E9Q7X6	Heg1
O08585	Clta
O08740	Polr2j
O08756	Hsd17b10
O09167	Rpl21
O35658	C1qbp
O55023	Impa1
O55126	Nipsnap2
O70401	Tspan6
O70439	Stx7
O70492	Snx3
O88384	Vti1b
O88447	Klc1
O88448	Klc2
O88643	Pak1
O88842	Fgd3
P01902	H2-K1
P01942	Hba
P02468	Lamc1
P04223	H2-K1
P08556	Nras
P0DN34	Ndufb1
P11103	Parp1
P11370	Fv4
P12367	Prkar2a
P16056	Met
P16110	Lgals3
P16546	Sptan1
P17225	Ptbp1
P19536	Cox5b
P22777	Serpine1
P23198	Cbx3
P23506	Pcmt1
P24452	Capg
P25785	Timp2
P25976	Ubtf
P28798	Grn
P29391	Ftl1
P29533	Vcam1
P31230	Aimp1
P35288	Rab23
P35441	Thbs1
P35922	Fmr1
P39749	Fen1
P42225	Stat1
P46062	Sipa1
P46471	Psmc2
P47226	Tes
P47753	Capza1
P47802	Mtx1
P47964	Rpl36
P49718	Mcm5
P51569	Gla
P51912	Slc1a5
P52332	Jak1
P53026	Rpl10a
P59242	Cgn
P62862	Fau
P63323	Rps12
P70295	Aup1
P97352	S100a13
P97798	Neo1
Q01730	Rsu1
Q05920	Pc
Q3TUH1	Tamm41
Q5U431	Gpr39
Q5XG71	Utp20
Q60870	Reep5
Q61037	Tsc2
Q61189	Clns1a
Q61316	Hspa4
Q61656	Ddx5
Q61838	Pzp
Q61941	Nnt
Q62193	Rpa2
Q62203	Sf3a2
Q64105	Spr
Q64213	Sf1
Q69ZR2	Hectd1
Q6A026	Pds5a
Q6NZC7	Sec23ip
Q6P6L0	Filip1l
Q6PFR5	Tra2a
Q80UM3	Naa15
Q80ZK0	Mrps10
Q8BG95	Ppp1r12b
Q8BHL4	Gprc5a
Q8BK63	Csnk1a1
Q8BSQ9	Pbrm1
Q8K4B0	Mta1
Q8R1A4	Dock7
Q8VCX6	Kptn
Q91WJ8	Fubp1
Q91YE6	Ipo9
Q91ZN5	Slc35b2
Q921I2	Klhdc4
Q922K7	Nop2
Q99J99	Mpst
Q99KN9	Clint1
Q99LD4	Gps1
Q99NB9	Sf3b1
Q99PW4	Tp53rk
Q9CPR4	Rpl17
Q9CQY5	Magt1
Q9CRT8	Xpot
Q9CWM4	Pfdn1
Q9CXI5	Manf
Q9D7A6	Srp19
Q9D7R2	Pmepa1
Q9D855	Uqcrb
Q9D8B4	Ndufa11
Q9D8Y0	Efhd2
Q9JHR7	Ide
Q9JJH1	Rnase4
Q9JJX6	P2rx4
Q9JLV6	Pnkp
Q9QXG2	Chm
Q9QXZ0	Macf1
Q9QY76	Vapb
Q9WTQ8	Timm23
Q9WV70	Noc2l
Q9WVL2	Stat2
Q9WVR4	Fxr2
Q9Z130	Hnrnpdl
O70554	Sprr2b
Q8VCR7	Abhd14b
